#OPEN_EXPORT: 2023.05.05.1207
#Datum vytvoøení souboru: 14.02.2024 18:58
#Stažením publikovaných dat souhlasíte s podmínkami užití tìchto dat.

METADATA
Stanice ID;Jméno stanice;Zaèátek mìøení;Konec mìøení;Zemìpisná délka;Zemìpisná šíøka;Nadmoøská výška
B2BTUR01;Brno, Tuøany;01.01.1961;31.12.1996;16.6956;49.1597;241
B2BTUR01;Brno, Tuøany;01.01.1997;31.12.2023;16.688889;49.153056;241

PØÍSTROJE
Pøístroj;Zaèátek mìøení;Konec mìøení;Výška pøístroje [m]
Teplomìr;01.01.1961;31.12.1996;2
Teplotní èidlo;01.01.1997;31.10.2010;2
Teplotní èidlo;01.11.2010;31.12.2023;2.03

PRVEK
Prùmìrná denní teplota vzduchu [T.AVG, °C]

POPIS
Hodnota - mìsíèní hodnota prvku pro daný mìsíc
Datum - datum výskytu hodnoty
Pøíznak * u datumu znamená, že se hodnota vyskytla vícekrát
Pøíznak I znamená, že se výpoèet provedl z neúplných dat.

STATISTIKA
AVG - prùmìrná hodnota za mìsíc
SUM - souèet za mìsíc
MAX - maximální hodnota za mìsíc a den maxima
MIN - minimální hodnota za mìsíc a den minima

MÌSÍÈNÍ DATA
Rok;Statistika;Hodnota leden;Datum leden;Hodnota únor;Datum únor;Hodnota bøezen;Datum bøezen;Hodnota duben;Datum duben;Hodnota kvìten;Datum kvìten;Hodnota èerven;Datum èerven;Hodnota èervenec;Datum èervenec;Hodnota srpen;Datum srpen;Hodnota záøí;Datum záøí;Hodnota øíjen;Datum øíjen;Hodnota listopad;Datum listopad;Hodnota prosinec;Datum prosinec;Hodnota rok;Datum rok;
1990;MIN;-9.2;07.01.1990;.6;12.02.1990*;.2;03.03.1990;3;09.04.1990;9.7;29.05.1990;13.2;01.06.1990*;14.3;07.07.1990;15.2;17.08.1990;8.6;21.09.1990;2.8;22.10.1990;-.3;11.11.1990;-6.1;03.12.1990;-9.2;07.01.1990;
1991;AVG;-.2;;-3.7;;6.1;;8.1;;10.8;;16.5;;20.9;;19.1;;16.1;;8.5;;3.8;;-1.8;;8.7;;
1991;MAX;6.8;03.01.1991;4.1;24.02.1991;12.7;22.03.1991;11.8;05.04.1991;17.2;31.05.1991;22;23.06.1991;26.9;12.07.1991;25.7;08.08.1991;19.7;05.09.1991;16;08.10.1991;8;08.11.1991;3;30.12.1991;26.9;12.07.1991;
1991;MIN;-10;31.01.1991;-12.2;05.02.1991;.9;01.03.1991;2.5;20.04.1991;5.7;04.05.1991;11.1;05.06.1991;14.1;26.07.1991;15;28.08.1991;12;08.09.1991;-1.1;26.10.1991;.7;01.11.1991;-10.4;09.12.1991;-12.2;05.02.1991;
1992;AVG;.6;;2.5;;4.5;;9.3;;14.9;;18.6;;20.9;;23.6;;15.3;;7.7;;3.7;;-.6;;10.1;;
1992;MAX;6.2;06.01.1992;6.9;13.02.1992;10.2;24.03.1992;18.5;26.04.1992;18.3;23.05.1992;23;23.06.1992;25.2;22.07.1992;28.5;10.08.1992;18.7;11.09.1992;17.2;06.10.1992;9.8;06.11.1992;5.7;04.12.1992;28.5;10.08.1992;
1992;MIN;-6.9;21.01.1992;-3;18.02.1992;.7;16.03.1992;2.8;17.04.1992;10.3;04.05.1992;14.7;08.06.1992*;16.9;06.07.1992*;17.4;15.08.1992;11.6;05.09.1992;2.5;13.10.1992;-2.2;30.11.1992;-9;26.12.1992;-9;26.12.1992;
1993;AVG;-.4;;-1.5;;2.7;;10.6;;17.2;;17.5;;18.2;;19.2;;14.1;;9.6;;.8;;1;;9.1;;
1993;MAX;8.9;24.01.1993;2.2;19.02.1993;12.4;22.03.1993;19;27.04.1993;22.7;21.05.1993;23.7;10.06.1993;24;10.07.1993;26.2;04.08.1993;20;24.09.1993;16.5;08.10.1993;10.1;07.11.1993;5.6;09.12.1993;26.2;04.08.1993;
1993;MIN;-13.2;03.01.1993;-8.6;01.02.1993;-5;05.03.1993;4;10.04.1993;9.2;05.05.1993;11.8;28.06.1993;13.1;06.07.1993;11.5;31.08.1993;6;30.09.1993;2.2;27.10.1993;-6.8;23.11.1993;-3.4;29.12.1993;-13.2;03.01.1993;
